,centroid,shape_id,cx,cy,id
64,POINT (5168626.545454641 3638127.848504979),8.0,5168626.545454641,3638127.848504979,neg64
65,POINT (5168423.796743167 3637981.7954037017),8.0,5168423.796743167,3637981.7954037017,neg65
66,POINT (5168332.731648913 3638201.354205856),8.0,5168332.731648913,3638201.354205856,neg66
67,POINT (5166694.127955756 3636395.3959362553),8.0,5166694.127955756,3636395.3959362553,neg67
68,POINT (5168378.596929524 3636809.3855091934),8.0,5168378.596929524,3636809.3855091934,neg68
69,POINT (5167769.152704094 3636627.6802361594),8.0,5167769.152704094,3636627.6802361594,neg69
70,POINT (5167593.116763171 3636504.085366421),8.0,5167593.116763171,3636504.085366421,neg70
71,POINT (5167725.918310032 3636264.581099296),8.0,5167725.918310032,3636264.581099296,neg71
72,POINT (5168784.149304619 3638150.3899139776),8.0,5168784.149304619,3638150.3899139776,neg72
73,POINT (5167772.165393635 3636502.2342569353),8.0,5167772.165393635,3636502.2342569353,neg73
74,POINT (5168426.69773569 3637281.97819379),8.0,5168426.69773569,3637281.97819379,neg74
75,POINT (5167105.2975043105 3636190.4880000213),8.0,5167105.2975043105,3636190.4880000213,neg75
76,POINT (5166823.663165845 3636363.3173341127),8.0,5166823.663165845,3636363.3173341127,neg76
77,POINT (5168161.75385166 3636353.4420259115),8.0,5168161.75385166,3636353.4420259115,neg77
78,POINT (5167792.49535351 3636534.87259167),8.0,5167792.49535351,3636534.87259167,neg78
79,POINT (5168409.702595411 3638175.500059915),8.0,5168409.702595411,3638175.500059915,neg79
80,POINT (4987921.535003759 3871672.470493349),9.0,4987921.535003759,3871672.470493349,neg80
81,POINT (4988428.655655016 3871904.7029110678),9.0,4988428.655655016,3871904.7029110678,neg81
82,POINT (4987811.413559076 3872183.968611631),9.0,4987811.413559076,3872183.968611631,neg82
83,POINT (4989776.017232184 3870471.0370262223),9.0,4989776.017232184,3870471.0370262223,neg83
84,POINT (4989324.706985923 3871447.85347565),9.0,4989324.706985923,3871447.85347565,neg84
85,POINT (4986920.657985299 3871665.900653726),9.0,4986920.657985299,3871665.900653726,neg85
86,POINT (4990072.165172876 3871261.70617867),9.0,4990072.165172876,3871261.70617867,neg86
87,POINT (4988194.114750724 3871592.915305853),9.0,4988194.114750724,3871592.915305853,neg87
88,POINT (4990046.910104322 3870750.5350983846),9.0,4990046.910104322,3870750.5350983846,neg88
89,POINT (4987305.935325106 3872680.145766005),9.0,4987305.935325106,3872680.145766005,neg89
90,POINT (4989690.193449576 3870838.810347559),9.0,4989690.193449576,3870838.810347559,neg90
91,POINT (4988483.5531909885 3872250.754378945),9.0,4988483.5531909885,3872250.754378945,neg91
92,POINT (4987404.275099559 3871673.4628521875),9.0,4987404.275099559,3871673.4628521875,neg92
93,POINT (4989283.607933987 3871738.864200791),9.0,4989283.607933987,3871738.864200791,neg93
94,POINT (4988656.837668196 3871133.5027478216),9.0,4988656.837668196,3871133.5027478216,neg94
95,POINT (4988828.330148924 3870245.701770018),9.0,4988828.330148924,3870245.701770018,neg95
96,POINT (4988726.595141392 3872463.4518009643),9.0,4988726.595141392,3872463.4518009643,neg96
97,POINT (4988796.546801382 3870478.9440950667),9.0,4988796.546801382,3870478.9440950667,neg97
98,POINT (4987812.979394823 3872748.7638208983),9.0,4987812.979394823,3872748.7638208983,neg98
99,POINT (4989523.941062529 3870668.2594293943),9.0,4989523.941062529,3870668.2594293943,neg99
100,POINT (5250798.690491385 3738946.01058881),10.0,5250798.690491385,3738946.01058881,neg100
101,POINT (5251199.494884856 3741933.688918579),10.0,5251199.494884856,3741933.688918579,neg101
102,POINT (5249280.040647586 3740971.597381764),10.0,5249280.040647586,3740971.597381764,neg102
103,POINT (5251634.0431800075 3740951.5055254716),10.0,5251634.0431800075,3740951.5055254716,neg103
104,POINT (5251136.6269242065 3740363.52496353),10.0,5251136.6269242065,3740363.52496353,neg104
105,POINT (5251027.347967428 3739801.2208681027),10.0,5251027.347967428,3739801.2208681027,neg105
106,POINT (5250043.672126658 3740343.814744335),10.0,5250043.672126658,3740343.814744335,neg106
107,POINT (5250385.060345549 3741760.210051228),10.0,5250385.060345549,3741760.210051228,neg107
108,POINT (5250129.993293657 3739410.0025595133),10.0,5250129.993293657,3739410.0025595133,neg108
109,POINT (5250069.343055596 3740151.580023429),10.0,5250069.343055596,3740151.580023429,neg109
110,POINT (5250367.967763769 3741923.179491878),10.0,5250367.967763769,3741923.179491878,neg110
111,POINT (5251509.00541107 3739160.305689561),10.0,5251509.00541107,3739160.305689561,neg111
112,POINT (5251227.436777376 3741111.296821207),10.0,5251227.436777376,3741111.296821207,neg112
113,POINT (5250931.487810755 3739757.704714323),10.0,5250931.487810755,3739757.704714323,neg113
114,POINT (5251244.5546835335 3740126.3527040933),10.0,5251244.5546835335,3740126.3527040933,neg114
115,POINT (5250650.930479535 3740506.402818635),10.0,5250650.930479535,3740506.402818635,neg115
116,POINT (5250118.663350675 3741831.802237777),10.0,5250118.663350675,3741831.802237777,neg116
117,POINT (5251436.568780802 3740103.3977670777),10.0,5251436.568780802,3740103.3977670777,neg117
118,POINT (5250800.471362575 3741644.52817694),10.0,5250800.471362575,3741644.52817694,neg118
119,POINT (5249263.988517045 3739585.6245948453),10.0,5249263.988517045,3739585.6245948453,neg119
120,POINT (5249705.270295382 3740842.1417154),10.0,5249705.270295382,3740842.1417154,neg120
121,POINT (5251212.322906764 3739543.936589622),10.0,5251212.322906764,3739543.936589622,neg121
122,POINT (5251702.087144984 3739840.5940955076),10.0,5251702.087144984,3739840.5940955076,neg122
123,POINT (5250979.125384457 3742016.768144793),10.0,5250979.125384457,3742016.768144793,neg123
124,POINT (5249847.725960509 3739128.705030916),10.0,5249847.725960509,3739128.705030916,neg124
125,POINT (5251261.791744428 3740028.2645816025),10.0,5251261.791744428,3740028.2645816025,neg125
126,POINT (5249819.908268728 3738910.4732270665),10.0,5249819.908268728,3738910.4732270665,neg126
127,POINT (5251453.333147386 3741605.353503908),10.0,5251453.333147386,3741605.353503908,neg127
128,POINT (5249942.496313327 3741449.5935740108),10.0,5249942.496313327,3741449.5935740108,neg128
129,POINT (5249718.098410984 3739015.9994256087),10.0,5249718.098410984,3739015.9994256087,neg129
130,POINT (5249652.227654166 3741534.5419481527),10.0,5249652.227654166,3741534.5419481527,neg130
131,POINT (5249841.837143644 3741094.5809750166),10.0,5249841.837143644,3741094.5809750166,neg131
132,POINT (5251517.8961867215 3740461.526679361),10.0,5251517.8961867215,3740461.526679361,neg132
133,POINT (5249199.0325467875 3742199.4118623054),10.0,5249199.0325467875,3742199.4118623054,neg133
134,POINT (5249242.885743817 3740443.6779006124),10.0,5249242.885743817,3740443.6779006124,neg134
135,POINT (5249261.532928869 3738775.1389916097),10.0,5249261.532928869,3738775.1389916097,neg135
136,POINT (5249365.9734203825 3741674.747344528),10.0,5249365.9734203825,3741674.747344528,neg136
137,POINT (5251276.50260278 3740652.2555261515),10.0,5251276.50260278,3740652.2555261515,neg137
138,POINT (5250278.055209467 3738795.265555093),10.0,5250278.055209467,3738795.265555093,neg138
139,POINT (5249321.820973353 3739391.20256739),10.0,5249321.820973353,3739391.20256739,neg139
140,POINT (5251912.132204138 3739147.628545189),10.0,5251912.132204138,3739147.628545189,neg140
141,POINT (5251758.84882848 3739421.9962144946),10.0,5251758.84882848,3739421.9962144946,neg141
142,POINT (5251891.7714697365 3740761.4401260274),10.0,5251891.7714697365,3740761.4401260274,neg142
143,POINT (5250852.531985808 3740492.9850859595),10.0,5250852.531985808,3740492.9850859595,neg143
144,POINT (5251603.283644546 3739743.57471838),10.0,5251603.283644546,3739743.57471838,neg144
145,POINT (5249989.446009839 3739241.4265799485),10.0,5249989.446009839,3739241.4265799485,neg145
146,POINT (5250577.97524256 3739905.0102786194),10.0,5250577.97524256,3739905.0102786194,neg146
147,POINT (5250655.249208033 3741701.2409789353),10.0,5250655.249208033,3741701.2409789353,neg147
148,POINT (5251908.019215076 3739926.6217073887),10.0,5251908.019215076,3739926.6217073887,neg148
149,POINT (5249978.544533955 3741835.521879637),10.0,5249978.544533955,3741835.521879637,neg149
150,POINT (5038755.916243221 3672333.3194866474),11.0,5038755.916243221,3672333.3194866474,neg150
151,POINT (5039211.068669609 3671155.2213694695),11.0,5039211.068669609,3671155.2213694695,neg151
152,POINT (5038512.335160384 3671873.3460180624),11.0,5038512.335160384,3671873.3460180624,neg152
153,POINT (5039889.230810188 3673539.9154812554),11.0,5039889.230810188,3673539.9154812554,neg153
154,POINT (5040648.110002148 3672809.912617398),11.0,5040648.110002148,3672809.912617398,neg154
155,POINT (5040317.960567632 3673671.187419622),11.0,5040317.960567632,3673671.187419622,neg155
156,POINT (5039067.100457694 3672385.564516273),11.0,5039067.100457694,3672385.564516273,neg156
157,POINT (5039820.058401251 3672817.840075947),11.0,5039820.058401251,3672817.840075947,neg157
158,POINT (5038925.352624528 3671124.2354803975),11.0,5038925.352624528,3671124.2354803975,neg158
159,POINT (5039444.836657351 3671835.2255771095),11.0,5039444.836657351,3671835.2255771095,neg159
160,POINT (5040986.048861948 3670682.727575779),11.0,5040986.048861948,3670682.727575779,neg160
161,POINT (5040509.784429187 3673260.071717214),11.0,5040509.784429187,3673260.071717214,neg161
162,POINT (5039775.465159841 3672599.564298739),11.0,5039775.465159841,3672599.564298739,neg162
163,POINT (5038227.778455991 3671749.460450767),11.0,5038227.778455991,3671749.460450767,neg163
164,POINT (5038144.800551727 3672650.1562759597),11.0,5038144.800551727,3672650.1562759597,neg164
165,POINT (5039967.710781655 3672219.3756511654),11.0,5039967.710781655,3672219.3756511654,neg165
166,POINT (5040565.853300567 3672844.252382245),11.0,5040565.853300567,3672844.252382245,neg166
167,POINT (5039118.353476457 3672678.4296634863),11.0,5039118.353476457,3672678.4296634863,neg167
168,POINT (5038691.256755752 3672470.923841345),11.0,5038691.256755752,3672470.923841345,neg168
169,POINT (5038233.685437678 3673038.8427096275),11.0,5038233.685437678,3673038.8427096275,neg169
170,POINT (5041749.479346082 3670942.9836587934),11.0,5041749.479346082,3670942.9836587934,neg170
171,POINT (5039178.30652112 3674128.100009758),11.0,5039178.30652112,3674128.100009758,neg171
172,POINT (5040446.3640925195 3673261.026077308),11.0,5040446.3640925195,3673261.026077308,neg172
173,POINT (5041107.511622502 3671685.5107515138),11.0,5041107.511622502,3671685.5107515138,neg173
174,POINT (5039181.043669942 3671536.4638034273),11.0,5039181.043669942,3671536.4638034273,neg174
175,POINT (5038992.9648356205 3671461.981173253),11.0,5038992.9648356205,3671461.981173253,neg175
176,POINT (5039619.692810036 3671742.096195439),11.0,5039619.692810036,3671742.096195439,neg176
177,POINT (5040184.546102502 3670801.1593947867),11.0,5040184.546102502,3670801.1593947867,neg177
178,POINT (5038882.312220103 3671727.5691194986),11.0,5038882.312220103,3671727.5691194986,neg178
179,POINT (5038112.000599494 3673388.2640059288),11.0,5038112.000599494,3673388.2640059288,neg179
180,POINT (5037944.76006479 3672207.1860422343),11.0,5037944.76006479,3672207.1860422343,neg180
181,POINT (5038004.933524616 3671495.8815105665),11.0,5038004.933524616,3671495.8815105665,neg181
182,POINT (5040220.070677191 3671431.1652014246),11.0,5040220.070677191,3671431.1652014246,neg182
183,POINT (5041442.231011921 3673435.433724267),11.0,5041442.231011921,3673435.433724267,neg183
184,POINT (5041416.983167538 3671182.5503035337),11.0,5041416.983167538,3671182.5503035337,neg184
185,POINT (5038546.98656329 3670943.136383185),11.0,5038546.98656329,3670943.136383185,neg185
186,POINT (5039805.578957977 3673186.5743897753),11.0,5039805.578957977,3673186.5743897753,neg186
187,POINT (5039558.984333806 3673259.0329178493),11.0,5039558.984333806,3673259.0329178493,neg187
188,POINT (5039447.936757631 3671548.7444540435),11.0,5039447.936757631,3671548.7444540435,neg188
189,POINT (5040971.299193208 3672258.012763296),11.0,5040971.299193208,3672258.012763296,neg189
190,POINT (5040338.77160284 3671610.1409113747),11.0,5040338.77160284,3671610.1409113747,neg190
191,POINT (5038515.632079356 3673534.620515143),11.0,5038515.632079356,3673534.620515143,neg191
192,POINT (5038364.640978138 3673744.9339090213),11.0,5038364.640978138,3673744.9339090213,neg192
193,POINT (5038823.38716068 3671539.176532089),11.0,5038823.38716068,3671539.176532089,neg193
194,POINT (5039816.189012591 3672265.0091417585),11.0,5039816.189012591,3672265.0091417585,neg194
195,POINT (5039871.773822105 3672277.2461524475),11.0,5039871.773822105,3672277.2461524475,neg195
196,POINT (5039865.440772402 3672447.0374326105),11.0,5039865.440772402,3672447.0374326105,neg196
197,POINT (5039927.605013655 3673380.368842959),11.0,5039927.605013655,3673380.368842959,neg197
198,POINT (5039309.265570596 3671226.5709465174),11.0,5039309.265570596,3671226.5709465174,neg198
199,POINT (5038055.853289386 3671773.7982747797),11.0,5038055.853289386,3671773.7982747797,neg199
200,POINT (5247247.280030926 3743348.212202331),12.0,5247247.280030926,3743348.212202331,neg200
201,POINT (5244934.265382485 3742481.7193866083),12.0,5244934.265382485,3742481.7193866083,neg201
202,POINT (5246170.051705036 3742797.479951114),12.0,5246170.051705036,3742797.479951114,neg202
203,POINT (5247297.920624325 3742440.9747086656),12.0,5247297.920624325,3742440.9747086656,neg203
204,POINT (5247660.902807814 3741276.2271765633),12.0,5247660.902807814,3741276.2271765633,neg204
205,POINT (5245251.225301858 3739290.9681989034),12.0,5245251.225301858,3739290.9681989034,neg205
206,POINT (5247792.713698535 3743435.4777738745),12.0,5247792.713698535,3743435.4777738745,neg206
207,POINT (5246095.104315183 3740629.9095465937),12.0,5246095.104315183,3740629.9095465937,neg207
208,POINT (5247617.657025704 3741068.406764132),12.0,5247617.657025704,3741068.406764132,neg208
209,POINT (5247961.492492875 3740915.557163867),12.0,5247961.492492875,3740915.557163867,neg209
210,POINT (5247389.7023294065 3739343.9327872256),12.0,5247389.7023294065,3739343.9327872256,neg210
211,POINT (5245092.873273273 3742256.03530589),12.0,5245092.873273273,3742256.03530589,neg211
212,POINT (5245145.805138147 3742915.645653742),12.0,5245145.805138147,3742915.645653742,neg212
213,POINT (5244962.619196413 3742690.7811835464),12.0,5244962.619196413,3742690.7811835464,neg213
214,POINT (5247090.623776467 3742946.3187798443),12.0,5247090.623776467,3742946.3187798443,neg214
215,POINT (5247768.378831648 3739520.382182207),12.0,5247768.378831648,3739520.382182207,neg215
216,POINT (5245207.302431457 3740670.21086224),12.0,5245207.302431457,3740670.21086224,neg216
217,POINT (5246382.527149149 3739347.7853445434),12.0,5246382.527149149,3739347.7853445434,neg217
218,POINT (5245324.764022149 3743611.4365701564),12.0,5245324.764022149,3743611.4365701564,neg218
219,POINT (5247019.123589754 3740242.1610559886),12.0,5247019.123589754,3740242.1610559886,neg219
220,POINT (5246441.431069982 3742688.633764131),12.0,5246441.431069982,3742688.633764131,neg220
221,POINT (5245519.817266147 3741744.098485101),12.0,5245519.817266147,3741744.098485101,neg221
222,POINT (5247851.8225696 3743507.808024182),12.0,5247851.8225696,3743507.808024182,neg222
223,POINT (5247335.534886261 3740871.794972594),12.0,5247335.534886261,3740871.794972594,neg223
224,POINT (5247941.208392735 3739509.768073407),12.0,5247941.208392735,3739509.768073407,neg224
225,POINT (5247335.88732982 3743056.077162524),12.0,5247335.88732982,3743056.077162524,neg225
226,POINT (5245394.562928823 3741818.7168011297),12.0,5245394.562928823,3741818.7168011297,neg226
227,POINT (5245653.724550448 3743116.3723171037),12.0,5245653.724550448,3743116.3723171037,neg227
228,POINT (5247147.886512432 3741579.3232767875),12.0,5247147.886512432,3741579.3232767875,neg228
229,POINT (5248149.613345297 3742142.92908411),12.0,5248149.613345297,3742142.92908411,neg229
230,POINT (5246811.289132549 3739733.0824816427),12.0,5246811.289132549,3739733.0824816427,neg230
231,POINT (5245335.820504157 3740318.1042319313),12.0,5245335.820504157,3740318.1042319313,neg231
232,POINT (5247105.402675781 3741873.9522591294),12.0,5247105.402675781,3741873.9522591294,neg232
233,POINT (5246885.974425642 3740986.044766442),12.0,5246885.974425642,3740986.044766442,neg233
234,POINT (5245634.721453955 3742201.8284254503),12.0,5245634.721453955,3742201.8284254503,neg234
235,POINT (5245530.067332848 3742176.8826520056),12.0,5245530.067332848,3742176.8826520056,neg235
236,POINT (5246753.030278432 3741041.219989099),12.0,5246753.030278432,3741041.219989099,neg236
237,POINT (5245102.522725586 3740568.215973063),12.0,5245102.522725586,3740568.215973063,neg237
238,POINT (5245608.50911787 3740072.2112170747),12.0,5245608.50911787,3740072.2112170747,neg238
239,POINT (5246611.464162144 3743481.2457397487),12.0,5246611.464162144,3743481.2457397487,neg239
240,POINT (5245142.45020745 3742872.8334853924),12.0,5245142.45020745,3742872.8334853924,neg240
241,POINT (5245748.21850153 3740369.266788412),12.0,5245748.21850153,3740369.266788412,neg241
242,POINT (5247675.044963624 3739834.426037172),12.0,5247675.044963624,3739834.426037172,neg242
243,POINT (5248023.449641739 3743500.6394214896),12.0,5248023.449641739,3743500.6394214896,neg243
244,POINT (5248117.424518382 3740971.9646648914),12.0,5248117.424518382,3740971.9646648914,neg244
245,POINT (5246165.371611012 3740811.4061115296),12.0,5246165.371611012,3740811.4061115296,neg245
246,POINT (5247945.308974306 3741550.7600923856),12.0,5247945.308974306,3741550.7600923856,neg246
247,POINT (5247449.959651809 3740383.0159638403),12.0,5247449.959651809,3740383.0159638403,neg247
248,POINT (5247887.905503317 3742847.216702208),12.0,5247887.905503317,3742847.216702208,neg248
249,POINT (5247994.895230741 3740170.136974541),12.0,5247994.895230741,3740170.136974541,neg249
250,POINT (4924379.234810948 3929430.161898791),13.0,4924379.234810948,3929430.161898791,neg250
251,POINT (4923114.845701531 3928486.9593577213),13.0,4923114.845701531,3928486.9593577213,neg251
252,POINT (4925496.63030881 3927253.709788625),13.0,4925496.63030881,3927253.709788625,neg252
253,POINT (4921961.15456777 3928064.9635688295),13.0,4921961.15456777,3928064.9635688295,neg253
254,POINT (4921834.119798627 3928177.156402976),13.0,4921834.119798627,3928177.156402976,neg254
255,POINT (4924110.206085704 3929869.092926796),13.0,4924110.206085704,3929869.092926796,neg255
256,POINT (4925368.3839661 3928106.415776416),13.0,4925368.3839661,3928106.415776416,neg256
257,POINT (4922216.418898511 3927801.972338191),13.0,4922216.418898511,3927801.972338191,neg257
258,POINT (4922952.602044058 3928920.9783738744),13.0,4922952.602044058,3928920.9783738744,neg258
259,POINT (4924322.625493721 3930902.020681254),13.0,4924322.625493721,3930902.020681254,neg259
260,POINT (4924626.655404425 3927196.5758914286),13.0,4924626.655404425,3927196.5758914286,neg260
261,POINT (4922776.685637996 3929657.5280616437),13.0,4922776.685637996,3929657.5280616437,neg261
262,POINT (4921764.151387586 3930305.8740430526),13.0,4921764.151387586,3930305.8740430526,neg262
263,POINT (4923267.551354922 3927525.1739096516),13.0,4923267.551354922,3927525.1739096516,neg263
264,POINT (4923058.521428624 3928873.4478849964),13.0,4923058.521428624,3928873.4478849964,neg264
265,POINT (4925442.88931939 3927785.500238675),13.0,4925442.88931939,3927785.500238675,neg265
266,POINT (4925082.210533323 3928910.666890405),13.0,4925082.210533323,3928910.666890405,neg266
267,POINT (4925432.759031939 3929386.201190701),13.0,4925432.759031939,3929386.201190701,neg267
268,POINT (4924119.421100231 3926595.4510049084),13.0,4924119.421100231,3926595.4510049084,neg268
269,POINT (4924930.961291978 3928368.7761399974),13.0,4924930.961291978,3928368.7761399974,neg269
270,POINT (4926400.000275849 3927852.5424966),13.0,4926400.000275849,3927852.5424966,neg270
271,POINT (4922038.674083339 3929912.1168534923),13.0,4922038.674083339,3929912.1168534923,neg271
272,POINT (4925933.290359985 3928372.703898166),13.0,4925933.290359985,3928372.703898166,neg272
273,POINT (4922366.9659202965 3927141.6632577865),13.0,4922366.9659202965,3927141.6632577865,neg273
274,POINT (4925584.952143867 3928988.2260492397),13.0,4925584.952143867,3928988.2260492397,neg274
275,POINT (4926481.500022535 3927727.5473839524),13.0,4926481.500022535,3927727.5473839524,neg275
276,POINT (4923421.094545424 3928572.517345243),13.0,4923421.094545424,3928572.517345243,neg276
277,POINT (4922799.89106968 3928440.5793892355),13.0,4922799.89106968,3928440.5793892355,neg277
278,POINT (4923272.767501292 3927250.2811164306),13.0,4923272.767501292,3927250.2811164306,neg278
279,POINT (4922461.689514654 3927891.30496121),13.0,4922461.689514654,3927891.30496121,neg279
280,POINT (4923840.88982238 3931470.2772079273),13.0,4923840.88982238,3931470.2772079273,neg280
281,POINT (4925573.402936859 3929212.634355893),13.0,4925573.402936859,3929212.634355893,neg281
282,POINT (4923982.391141379 3929674.3367634737),13.0,4923982.391141379,3929674.3367634737,neg282
283,POINT (4921039.6650041845 3929535.967766826),13.0,4921039.6650041845,3929535.967766826,neg283
284,POINT (4923622.078572342 3926643.0122542633),13.0,4923622.078572342,3926643.0122542633,neg284
285,POINT (4922087.205006415 3929270.9476618376),13.0,4922087.205006415,3929270.9476618376,neg285
286,POINT (4923504.777565598 3926211.015369716),13.0,4923504.777565598,3926211.015369716,neg286
287,POINT (4921740.613347196 3928951.388818556),13.0,4921740.613347196,3928951.388818556,neg287
288,POINT (4921750.129671435 3928717.322843371),13.0,4921750.129671435,3928717.322843371,neg288
289,POINT (4923523.705562701 3928547.320646508),13.0,4923523.705562701,3928547.320646508,neg289
290,POINT (4924918.570040693 3928816.773938049),13.0,4924918.570040693,3928816.773938049,neg290
291,POINT (4923268.289599784 3928896.9422432166),13.0,4923268.289599784,3928896.9422432166,neg291
292,POINT (4922150.504731021 3930533.3073933534),13.0,4922150.504731021,3930533.3073933534,neg292
293,POINT (4924196.842427241 3930711.8013329105),13.0,4924196.842427241,3930711.8013329105,neg293
294,POINT (4922624.189009842 3929260.585737108),13.0,4922624.189009842,3929260.585737108,neg294
