,id,entry_id,cx,cy
55,10361,QD061,5052798.0875719385,3773057.9267319534
56,10362,QD062,5050677.358322484,3762735.933153268
57,10363,QD063a,5051104.233834132,3759557.130152779
58,10364,QD063b,5051247.804684962,3758873.948512088
59,10365,QD063c,5050819.523072373,3758411.1016263063
60,10366,QD063d,5050533.936141802,3759215.582692437
61,10368,QD064b,5055813.691622828,3753454.797882458
62,10369,QD064c,5055577.8035523705,3754194.7089070603
63,10370,QD065,5062811.168343694,3750962.3620296326
64,10371,QD066,5057383.152014006,3752101.3808761155
65,10373,QD068,5069010.422234395,3739977.994519548
66,10374,QD069,5046772.937287003,3763523.847964673
67,10375,QD070,5044209.629954757,3772140.9874322945
68,10376,QD071,5046251.221093728,3760649.9840540476
69,10378,QD073,5048632.964370112,3759477.289029924
70,10379,QD074,5048682.608343826,3755297.0880778907
72,10382,QD075c,5063013.100212267,3743181.4452090124
73,10383,QD075d,5063903.591451513,3741570.6539529385
74,10384,QD076,5048456.13459504,3756996.2406998244
75,10385,QD077,5061413.192005293,3741864.2022947473
76,10386,QD078,5060742.234106008,3744029.618119801
77,10387,QD079,5060913.125090069,3745587.86505355
78,10388,QD080,5060606.067396141,3748207.230716816
79,10389,QD081a,5074995.728995409,3739868.887616133
80,10390,QD081b,5074763.050614157,3739945.3946384788
81,10391,QD082,5076798.338559294,3738999.8885788308
82,10392,QD083,5076068.036837333,3739334.956801972
83,10393,QD084,5076393.2473980095,3739592.307605777
84,10394,QD085,5077344.263426467,3739988.1013234607
85,10395,QD086,5077661.093375369,3740235.498770866
86,10396,QD087,5073464.332629669,3742267.371493075
87,10397,QD088,5072729.476430557,3741128.673861005
88,10398,QD089,5077191.441930776,3739735.1293505146
89,10399,QD090,5076252.801203719,3737622.986693376
90,10400,QD091,5078950.951818703,3738385.0645717485
91,10401,QD092,5071972.427191871,3738318.308304484
92,10402,QD093,5049014.485119935,3756514.283482264
93,10403,QD094,5052383.63587144,3754088.6872550254
94,10404,QD095,5054156.814846141,3755042.2927361103
95,10405,QD096,5061003.281197633,3747637.787538087
96,10406,QD097,5044527.710625321,3769798.171957072
97,10407,QD098,5051846.722396434,3751791.780433731
98,10408,QD100a,5096373.331020317,3718754.8351210807
99,10409,QD100b,5096048.682117135,3718635.7871743077
100,10411,QD101,5069883.76987532,3742212.1940496317
101,10412,QD102,5068441.494048069,3742328.3862124817
102,10414,QD104,5067580.857251453,3740497.5614190027
103,10415,QD105,5065044.283678804,3751557.3048999477
104,10416,QD106,5075848.431980675,3761937.670053446
105,10417,QD107a,5071002.343363289,3736809.5092870253
106,10418,QD107b,5071471.280093838,3736786.1538452995
107,10419,QD108,5059466.385469027,3743131.6943222377
108,10420,QD109,5089762.8346248325,3733636.424816364
109,10421,QD110,5091461.660386139,3730419.0723767537
110,10422,QD111,5092923.604845992,3729833.057774093
111,10424,QD113a,5088047.090437369,3732363.4937056447
112,10426,QD114,5086930.794909028,3731439.165071643
113,10427,QD115,5083387.1115982635,3731713.0023195157
114,10428,QD116a,5082879.145236084,3731101.085181651
115,10430,QD116c,5083091.836069083,3730849.606061639
116,10433,QD117a,5065225.776659667,3742024.658214328
117,10434,QD117b,5065259.90285615,3742409.9607287315
118,10436,QD118,5072339.224662006,3742234.849967105
119,10437,QD119,5086119.855009208,3743731.327402754
120,10438,QD120,5087653.934517136,3743639.9675936233
121,10439,QD121,5089760.505814816,3736647.851476893
122,10440,QD122,5095312.716069105,3729135.799167063
123,10441,QD123,5089265.577979402,3741478.3447037074
124,10442,QD124,5091705.533855943,3738615.6104914052
125,10443,QD125,5092375.355221596,3737481.8297129306
126,10444,QD126,5057167.691239852,3770538.2454910246
127,10445,QD127,5057233.654449626,3770042.8310566973
128,10446,QD128,5059576.550311351,3769798.7934808074
130,10448,QD130a,5097959.384799461,3719517.9236836266
132,10450,QD131,5069431.505812322,3774262.904836568
133,10451,QD132,5096578.429598362,3721078.248207649
134,10452,QD133,5096461.645953188,3722959.291733266
135,10453,QD134,5096021.340624137,3727385.169954695
136,10454,QD135,5070268.397058799,3772423.1678131376
137,10455,QD136,5072333.090654058,3736925.428000469
138,10456,QD137a,5065757.932102989,3740895.756994196
139,10457,QD137b,5065870.538936368,3740812.489191315
140,10460,QD140a,5084856.029785394,3746180.082643387
141,10461,QD140b,5084603.496370091,3746488.4426886486
143,10463,QD142,5087747.598081612,3751763.8065584414
144,10464,QD143a,5082669.129552058,3735081.1019167877
145,10465,QD143b,5082700.202685195,3735361.5090410784
146,10466,QD144a,5078210.216299404,3725589.7609089627
147,10467,QD144b,5078405.664146018,3725523.2496598535
148,10468,QD145,5079306.781191588,3727468.2923520114
149,10470,QD147,5088249.209386534,3729545.593903473
150,10472,QD149,5079528.898628519,3732282.2421155223
151,10476,QD151,5085778.729970458,3722123.159283534
152,10482,QD157,5067480.36405703,3775873.6059093713
153,10483,QD158,5058381.274938046,3778830.5843456285
154,10484,QD159a,5051349.644280245,3783876.953982002
155,10485,QD159b,5051420.843467523,3783781.159040268
156,10486,QD159c,5051497.675962512,3783651.7189560705
157,10487,QD160,5041953.922375511,3773624.7888282533
158,10488,QD161,5060755.4902406465,3775562.2878439785
161,13520,AKK.0002,4929420.135358284,4014895.648495923
162,13521,AKK.0003,4925341.840164146,4005125.513280262
164,13523,AKK.0005,4931229.39425881,4005221.1646589325
165,13524,AKK.0006,4928569.106927965,4006307.1363094333
166,13525,AKK.0007,4931184.466128254,4002247.2768217437
167,13526,AKK.0008,4930531.68078067,3998089.83471677
169,13537,AKK.0019,4924127.090870703,3979650.4061036455
170,13538,AKK.0020,4924946.79887599,3975124.071531009
171,13539,AKK.0021,4927846.613229866,3975651.0683697714
172,14382,AKK.0859,4981840.292330176,3822293.952633986
174,13529,AKK.0011,4926570.179663091,3992871.5209796657
176,13531,AKK.0013,4924768.601485157,3987619.7870382625
177,13532,AKK.0014,4925865.061359607,3985497.751653869
178,13533,AKK.0015,4924157.599804788,3985137.7457941873
179,13534,AKK.0016,4919706.84726504,3985124.442157189
180,13535,AKK.0017,4919110.572636277,3981754.707168584
181,13536,AKK.0018,4920921.26955133,3979648.5211348655
182,13540,AKK.0022,4927986.970672672,3973012.7464872943
183,13541,AKK.0023,4921474.950251958,3974087.5690720323
184,13542,AKK.0024,4921795.444335746,3973057.641088808
186,13544,AKK.0026,4921710.006684776,3964724.578598302
187,13545,AKK.0027,4922226.600267843,3963251.3361489167
189,13547,AKK.0029,4923936.474393669,3933567.286546839
190,13548,AKK.0030,4941650.6157968445,3926251.3907113466
191,13549,AKK.0031,4949921.280864949,3924714.1200769627
192,13550,AKK.0032,4947491.317652624,3922574.703701812
193,13551,AKK.0033,4946088.670749965,3924197.734550379
194,13552,AKK.0034,4943383.216770316,3924265.251794924
195,13553,AKK.0035,4944795.193703531,3922169.1944793398
198,13556,AKK.0038,4922750.159088751,3915173.6123421844
201,13559,AKK.0041,4920557.38845365,3903447.919256617
202,13560,AKK.0042,4920000.990341377,3911083.1425642096
203,13561,AKK.0043,4921098.44782432,3918701.2014637413
204,13562,AKK.0044,4899703.588463665,3923771.6054468313
205,13563,AKK.0045,4937596.622634661,3906193.106609498
206,13564,AKK.0046,4938913.353057595,3904025.224170496
207,13565,AKK.0047,4946058.364925598,3902020.828599471
208,13566,AKK.0062,4963302.178635624,3885999.3637222527
209,13567,AKK.0048,4943794.909812261,3899756.2879221854
210,13568,AKK.0049,4946760.560395736,3900731.493656059
211,13569,AKK.0050,4940440.707287669,3896059.0732137365
212,13570,AKK.0051,4941504.286597803,3896042.3360461863
213,13571,AKK.0052,4944574.293900611,3896059.942155099
214,13572,AKK.0053,4947267.281399343,3896962.5093930643
215,13573,AKK.0054,4937589.705672293,3889979.0439290428
216,13574,AKK.0055,4947427.803053745,3895247.84029821
217,13575,AKK.0056,4967038.157578744,3897517.4112447686
218,13576,AKK.0057,4948797.557826806,3892968.2509548976
219,13577,AKK.0058,4953933.144260926,3892890.6610855176
220,13578,AKK.0059,4940811.214076419,3882648.845572595
221,13597,AKK.0078,4925718.056896105,4014056.952989596
222,13579,AKK.0060,4941104.739736588,3880678.277972688
223,13580,AKK.0061,4962545.37227499,3885512.7320812317
224,13582,AKK.0064,4958347.100535464,3883406.859290943
225,13583,AKK.0065,4961716.452845141,3881132.844276304
226,13584,AKK.0066,4972663.454926066,3875316.5786266336
227,13586,AKK.0068,4976694.666567752,3864354.64061217
228,13587,AKK.0069,4952358.658310777,3864019.006202249
229,13588,AKK.0070,4951874.247490631,3864474.503206424
230,13591,AKK.0089,4918356.982940042,3980872.7296178793
231,13596,AKK.0077,4917127.723680424,4022696.393307089
232,13598,AKK.0079,4929209.615252471,4015307.523736848
233,13599,AKK.0080,4929023.839330414,4015571.288920926
234,13600,AKK.0081,4929114.765653725,4015582.7511128737
235,13601,AKK.0082,4929675.45390008,3998162.4509839886
236,13602,AKK.0090,4918809.1805643095,3980222.7799072047
237,13603,AKK.0104,4921037.51145285,3979151.002781008
239,13605,AKK.0084,4920406.947941309,3985333.9484224664
240,13606,AKK.0085,4925682.812232371,3986126.9624189795
241,13607,AKK.0086,4918938.192064707,3981431.7415811415
242,13608,AKK.0087,4918741.413252955,3981068.273056999
243,13609,AKK.0088,4918353.015528641,3981045.144483323
244,13611,AKK.0091,4918695.196452334,3980062.3944501732
245,13612,AKK.0092,4918844.100328229,3980005.129957842
246,13613,AKK.0093,4918575.724622332,3980250.9200397353
247,13614,AKK.0094,4918379.011173542,3979742.134843047
248,13643,AKK.0124,4944283.091105193,3872509.5942274127
249,13615,AKK.0095,4918506.547082674,3979795.2021847125
250,13616,AKK.0096,4918779.489683155,3979915.8176919175
251,13617,AKK.0097,4918675.606638878,3979787.322498964
252,13618,AKK.0098,4918838.998849031,3979604.2383456975
253,13619,AKK.0099,4919086.221260609,3979760.626722535
254,13620,AKK.0100,4919184.894755828,3979717.0548982047
255,13621,AKK.0101,4918897.032774908,3979846.060852147
256,13622,AKK.0102,4918992.706912523,3980171.3273838186
257,13623,AKK.0105,4921175.703727302,3979521.066831356
258,13624,AKK.0106,4921476.8833068,3979503.777942146
259,13657,AKK.0139,4974213.7586652925,3894499.1315006893
260,13625,AKK.0107,4921249.471249383,3975155.770631263
261,13626,AKK.0108,4921280.944099099,3974829.987639117
262,13627,AKK.0109,4921704.748282555,3972731.8239990445
264,13629,AKK.0111,4899706.94205914,3924695.9465970676
265,13630,AKK.0112,4899460.530515657,3924395.680516517
266,13631,AKK.0113,4921310.18076913,3918491.752869502
267,13632,AKK.0126,4941141.714415182,3872431.3892836394
268,13644,AKK.0125,4943277.871052748,3870428.4866442964
269,13658,AKK.0140,4973767.133695906,3889266.7564226403
270,13633,AKK.0114,4922384.9106636075,3914704.80257265
271,13634,AKK.0115,4920385.05419711,3902941.4612567048
272,13635,AKK.0116,4964826.702321442,3870007.5240835706
273,13636,AKK.0117,4941158.784164186,3882887.253050936
274,13637,AKK.0118,4941723.375102835,3882835.5730128908
275,13638,AKK.0119,4948063.97223246,3880467.9769551004
276,13639,AKK.0120,4947718.586828228,3880173.067213049
277,13640,AKK.0121,4943078.084388128,3877865.0461714235
278,13646,AKK.0128,4941946.849442902,3871864.4073245176
279,13647,AKK.0129,4941679.464930831,3872108.6988459653
280,13648,AKK.0130,4949903.888720077,3867957.922640907
281,13649,AKK.0131,4949910.682223202,3867305.5488964124
282,13651,AKK.0133,4955649.543277168,3894082.7468173564
283,13652,AKK.0134,4954137.62016315,3893073.4029906634
284,13653,AKK.0135,4953686.474803459,3893555.061472875
285,13654,AKK.0136,4968523.669568442,3895003.168179121
286,13655,AKK.0137,4970465.826305177,3891092.207869251
287,13656,AKK.0138,4974433.860919357,3895075.550506127
288,16047,HAD.0005,4691528.008176462,4071372.428167602
289,13659,AKK.0158,4964710.398657448,3878582.40315683
290,13660,AKK.0141,4977173.08346815,3887261.648612858
291,13661,AKK.0142,4978901.218254018,3885511.9303948907
292,13662,AKK.0143,4954204.686755491,3883441.655640311
293,13663,AKK.0144,4957249.754108336,3885601.6892076475
294,13664,AKK.0145,4963144.233619171,3885618.609366161
295,13665,AKK.0146,4955714.425189115,3880227.1407162147
296,13666,AKK.0147,4956158.985699357,3880033.679674653
297,13667,AKK.0148,4955863.329149852,3877977.934809239
298,13669,AKK.0150,4957979.02772433,3877892.4220557366
299,13670,AKK.0151,4956556.273309542,3877127.332062865
300,13671,AKK.0152,4956689.260251393,3876818.8462036424
301,13672,AKK.0153,4957035.048572934,3876274.091559817
302,16048,HAD.0006,4660764.654940786,4092937.89153932
303,13673,AKK.0154,4957224.9767871965,3876222.027724587
304,13674,AKK.0155,4957976.251176754,3876298.1953002145
305,13675,AKK.0156,4962304.676833955,3878073.0128940414
306,13676,AKK.0157,4964927.037722359,3879356.6402497063
307,13677,AKK.0159,4964940.493891618,3878613.8829258224
308,13678,AKK.0160,4957152.665143836,3875734.005474963
309,13679,AKK.0161,4956928.749863334,3875191.4185385928
310,13680,AKK.0162,4957751.7197965095,3875061.4031019174
311,13681,AKK.0163,4957576.965918916,3875252.803806196
312,13682,AKK.0164,4958152.36403731,3874833.375837178
313,13683,AKK.0165,4955633.169919041,3871993.7035193066
314,13684,AKK.0166,4957378.19812271,3873225.93332582
315,13685,AKK.0167,4960194.703518136,3874586.7785743224
316,13686,AKK.0168,4960580.493622742,3874533.417591507
317,13687,AKK.0169,4963434.822437435,3874438.0275446675
318,13688,AKK.0170,4962888.002486005,3874097.5112206005
319,13689,AKK.0171,4963276.517180251,3874134.599581743
320,13690,AKK.0172,4922273.987602257,3920034.076963679
321,13691,AKK.0214,4986480.800177573,3869249.4429189814
323,13693,AKK.0174,4963655.652071114,3872022.6760564335
324,13694,AKK.0175,4963948.8131970065,3870582.052862377
325,13696,AKK.0177,4967142.347966203,3880387.324757712
326,13697,AKK.0178,4967143.009517402,3880111.002759548
327,13698,AKK.0179,4967086.414197543,3879202.6540962453
328,13699,AKK.0180,4969471.591961706,3884091.7328586816
329,13700,AKK.0181,4969976.350986113,3883676.1746142893
330,13701,AKK.0182,4969162.951639358,3882880.8468724624
331,13703,AKK.0184,4969490.487125842,3882564.282748187
332,13704,AKK.0185,4970656.19498251,3882244.2285520425
333,13705,AKK.0186,4970959.84226766,3882144.849474187
334,13706,AKK.0187,4971610.479783025,3881912.5007467973
335,13707,AKK.0188,4970507.447963828,3880818.713649443
336,13708,AKK.0189,4972581.247721392,3874854.0262673
337,13709,AKK.0190,4972891.195081271,3875565.7149946587
338,13710,AKK.0191,4973285.774665614,3875413.913004875
339,13711,AKK.0192,4973547.513002066,3874916.9739974355
340,13712,AKK.0193,4971749.999868101,3873757.9831734844
341,13713,AKK.0194,4969255.370396928,3873112.282665133
342,13714,AKK.0195,4980857.417202605,3871914.5340322
344,13716,AKK.0197,4960574.729126046,3867780.5643609455
345,13717,AKK.0198,4968003.868822099,3866084.203268162
346,13718,AKK.0199,4970444.01913705,3865088.0467171646
347,13719,AKK.0200,4970264.881996235,3865380.522845771
348,13721,AKK.0202,4970742.258021523,3864975.0448749373
349,13722,AKK.0203,4969725.542718763,3864772.605965283
350,13723,AKK.0204,4971059.155233264,3864705.441633853
351,13724,AKK.0205,4971345.48170834,3864863.7343156445
352,13725,AKK.0206,4971436.749090596,3865101.6845284095
353,13726,AKK.0207,4994319.420102269,3882710.5447182306
354,13727,AKK.0208,4997318.9597152695,3882968.6990696583
355,13728,AKK.0209,4996118.21000553,3880003.6589958547
356,13729,AKK.0210,4998855.129580061,3875401.7899750066
357,13730,AKK.0211,5004294.160815725,3875763.107237242
358,13731,AKK.0212,5004465.275097486,3875322.2249654485
359,13732,AKK.0213,5005701.102233414,3871330.226263718
360,13733,AKK.0215,4987195.508214084,3867232.8857023255
361,13736,AKK.0218,4987108.1463901065,3863342.8464673897
362,13737,AKK.0219,4940527.160500359,3850042.9007632174
363,13738,AKK.0220,4940590.31225893,3850458.298856782
364,13746,AKK.0228,4942137.004339537,3844841.796244971
365,13756,AKK.0250,4972258.372942556,3847636.094944044
366,13760,AKK.0241,4971984.789567922,3851346.649573665
367,13761,AKK.0242,4972986.676831137,3852306.542125242
368,13762,AKK.0243,4972828.953839699,3852817.2486744397
369,13763,AKK.0244,4972981.332204746,3852606.804905537
370,13764,AKK.0245,4972581.037384488,3853663.7208323907
371,13765,AKK.0246,4972049.523553234,3853295.5521538737
372,13768,AKK.0249,4972624.010958234,3847648.5193521758
373,13772,AKK.0254,4968752.7597381985,3833245.995184981
374,13773,AKK.0255,4968950.292353536,3833223.011040597
375,13775,AKK.0257,4977453.514006898,3830479.065776362
376,13777,AKK.0259,4977631.770718626,3830764.1037534815
377,13782,AKK.0264,4985400.099638036,3858062.009061624
378,13786,AKK.0267,4986477.972522164,3856789.4216822665
379,13787,AKK.0268,4986651.220060554,3856494.417119031
380,13788,AKK.0269,4987078.34012207,3854683.660063431
381,13789,AKK.0270,5002058.081696581,3855520.2630711626
382,13803,AKK.0285,4995989.845752095,3848536.199900214
383,13792,AKK.0273,4992855.905379214,3851136.947795214
384,13793,AKK.0274,4993186.136672671,3851319.1409605513
385,13794,AKK.0275,4993495.983433946,3850902.889417196
386,13795,AKK.0277,4984115.875584178,3849225.7565757814
388,13808,AKK.0290,4999057.878046887,3841512.3495973013
389,13818,AKK.0300,5005821.792681175,3844016.910426782
390,13819,AKK.0301,5007708.337250003,3843776.4836877338
392,13823,AKK.0305,5006384.585971517,3842540.1773100677
393,13824,AKK.0306,5004732.443089516,3842780.1389490995
394,13825,AKK.0307,4996719.108085336,3835781.840400383
395,13826,AKK.0308,4997104.859627426,3835517.405443176
396,13827,AKK.0309,4996508.725864206,3836039.957988667
397,13828,AKK.0310,4999132.894203794,3833700.086518959
398,13830,AKK.0312,4919431.201747673,3909035.8419337533
399,13833,AKK.0314,4998759.408280117,3833853.6064205403
400,13834,AKK.0315,5011149.6722223,3838683.9635186642
402,13836,AKK.0317,5033887.1420998005,3817777.6974012116
403,13837,AKK.0318,5009778.105698076,3839111.489843412
404,13838,AKK.0319,4946588.115771234,3822753.5754260533
405,13839,AKK.0320,4944751.250710573,3818689.4771492174
406,13840,AKK.0321,4935140.062613354,3814334.8009560904
407,13841,AKK.0322,4935121.977937723,3813022.2241396373
408,13842,AKK.0438,4948606.013101725,3904403.3402905106
409,16049,HAD.0007,4674400.067792796,4089418.359272915
411,13844,AKK.0324,4941160.565978177,3816392.9088655496
412,13845,AKK.0325,4940651.304016434,3816213.5487389667
413,13846,AKK.0326,4940420.845334782,3816459.4362043715
414,13847,AKK.0327,4940525.210437667,3816929.308517104
415,14432,AKK.0908,4901931.97177705,3924457.3173587336
416,13852,AKK.0332,4969295.882464546,3827960.444355751
417,13855,AKK.0335,4978840.556226689,3800665.07765211
418,13856,AKK.0336,4980542.370245472,3799984.363200046
420,13858,AKK.0338,5005184.328473927,3828272.9663891396
421,13859,AKK.0339,5005430.463787399,3827895.6179238125
422,13860,AKK.0340,5005926.699805493,3828191.4104752555
423,13861,AKK.0341,4986538.611071664,3825113.465936865
424,13862,AKK.0342,4986354.691250907,3822877.8932884606
425,13863,AKK.0343,5008009.532221821,3822280.068223488
426,13864,AKK.0344,5007837.27693994,3822549.298761895
427,13866,AKK.0346,5002431.249242207,3820805.0028202436
428,13867,AKK.0347,5001377.423914182,3821276.663366541
429,13868,AKK.0348,5000868.387103718,3820450.48181914
430,13869,AKK.0349,5000721.66026885,3820828.6647122884
431,13871,AKK.0376,5010005.758534645,3804894.4893137454
432,13872,AKK.0351,5000037.27506771,3819108.0022792174
433,13873,AKK.0352,4997817.775906856,3817296.302517762
434,13874,AKK.0353,4997241.901331194,3816009.6975198877
435,13875,AKK.0354,5008597.618662273,3803928.01618787
436,13876,AKK.0355,5008264.137775883,3805086.3308284446
437,13877,AKK.0356,5020313.566754877,3827927.270530621
438,13879,AKK.0358,5021143.394373644,3827891.613096337
439,13880,AKK.0359,5019075.934514883,3828642.4829613417
440,13881,AKK.0360,5020822.293138627,3819784.5922381403
441,13884,AKK.0363,5033852.383871017,3816005.3548985384
442,13885,AKK.0364,5014353.548193211,3813937.388085871
443,13886,AKK.0365,5014203.335415146,3814058.840954331
444,13887,AKK.0366,5014112.876098501,3814329.2569201863
445,13888,AKK.0367,5013612.004624603,3814001.4038326214
446,13889,AKK.0368,5017775.389337722,3813461.331228549
447,13890,AKK.0377,5010154.590226838,3804920.0594662568
448,13891,AKK.0378,5010052.641749985,3805769.2745556086
449,13892,AKK.0379,5009303.7067158865,3807009.7906318437
450,13893,AKK.0380,5009120.335887462,3807275.9425752973
451,13894,AKK.0381,5009603.555564952,3806465.475206994
453,13899,AKK.0373,5008813.027010982,3806014.248777974
454,13900,AKK.0374,5009023.659439484,3805929.670114454
455,13901,AKK.0375,5008402.674715327,3806092.0131287677
456,13903,AKK.0382,5009430.241341834,3806630.1966994316
457,13904,AKK.0383,5012837.431011968,3804339.0652329335
458,13905,AKK.0384,5011948.773026713,3804109.879313363
459,13912,AKK.0391,5025871.163695979,3805337.247142122
460,13913,AKK.0392,5026168.615188674,3804976.5642423136
461,13921,AKK.0400,5026723.159996334,3802163.1682226923
462,13923,AKK.0402,5012537.843250608,3799068.014039979
463,13924,AKK.1641,4940980.630918845,3907710.9406740223
464,13925,AKK.0403,5012340.791399427,3799346.654785083
465,13926,AKK.0404,5015621.8506319355,3799653.5542454487
466,16050,HAD.0008,4706042.998372133,4072582.333482621
467,13927,AKK.0405,5016041.445305364,3800268.5040847207
468,13928,AKK.0406,5015788.049546979,3800159.282179799
469,13929,AKK.0407,5016146.39223043,3800768.0815993664
470,13930,AKK.0408,5016465.444451794,3800513.64761363
471,13933,AKK.0411,5014327.574840478,3798278.3631535373
472,13934,AKK.0412,5014698.31441096,3797876.278837298
473,13935,AKK.0413,5014902.405015649,3798183.8001731937
474,13936,AKK.0414,5015096.713399374,3797380.9388636914
475,14433,AKK.0909,4900419.033390256,3924913.751580717
477,13943,AKK.0420,5031650.772314808,3802437.285530161
478,13948,AKK.0435,4915498.189287352,3932388.5651022205
479,13951,AKK.0427,5034153.776931062,3791198.697351975
480,13953,AKK.0429,4902147.949901736,3928743.9932934623
481,13956,AKK.0432,4907990.008839767,3928649.363916936
482,13957,AKK.0433,4910923.922583845,3929748.036935724
483,13958,AKK.0434,4915693.213203869,3932195.204117774
485,13960,AKK.0437,4947725.479382102,3904426.2193013346
486,13961,AKK.0440,4933793.741096979,3898876.854523013
487,13963,AKK.0442,4925465.037658015,3899501.1421657177
488,13965,AKK.0444,4925523.441537768,3899808.069385407
489,13966,AKK.0445,4925607.823402377,3899302.8044684613
490,16051,HAD.0009,4689257.774535703,4074987.7956664236
492,13969,AKK.0448,4927733.433809901,3897961.1455085617
493,13970,AKK.0449,4929652.3514313,3897707.4257954448
494,13971,AKK.0450,4934360.19185093,3904274.930142615
495,13973,AKK.0451,4933184.515490021,3900571.4470923003
496,13974,AKK.0452,4926270.258662084,3900837.4863075335
497,13976,AKK.0454,4946324.462138441,3866075.4360131384
498,13978,AKK.0456,4955707.4196510855,3865844.488063035
499,13979,AKK.0457,4955087.026366079,3866585.209963619
500,13980,AKK.0458,4953688.917976525,3867532.628512868
501,13981,AKK.0459,4954645.373433024,3866894.74711454
502,14010,AKK.0490,5004410.325475893,3842966.9737753468
503,16052,HAD.0010,4693456.200444212,4079617.4153673914
504,14005,AKK.0485,4986712.9409701675,3854781.941293369
505,14007,AKK.0487,5001073.710412062,3845859.176949138
506,14008,AKK.0488,5001350.7922458695,3845978.221967094
507,16053,HAD.0011,4691389.426012065,4072027.436676334
508,14011,AKK.0491,5007708.587765324,3841026.393238578
509,14013,AKK.0493,5001543.863237515,3832323.1415205565
510,14014,AKK.0494,5001083.185031057,3832304.381883192
511,14015,AKK.0495,5001299.734038957,3832378.4467155025
512,14016,AKK.0496,5000762.243448844,3832313.3349511577
513,14017,AKK.0497,5000963.406240004,3830984.7001604605
514,14018,AKK.0498,5001139.783699076,3830826.651102811
515,14019,AKK.0499,5001935.732890431,3830122.8478056607
516,14024,AKK.0503,5014330.538312378,3819077.728627498
518,14026,AKK.0505,4940883.483086306,3908313.9592567617
519,14029,AKK.0522,4913859.394701355,3922986.0105453343
520,14030,AKK.0523,4916473.221523474,3921998.4597001798
521,16054,HAD.0012,4690927.221468312,4065350.050516317
522,14044,AKK.0524,4916767.5846778015,3921592.4652680196
523,14045,AKK.0525,4924576.617806385,3921914.356451809
524,14046,AKK.0526,4925986.79366824,3922405.3689641505
525,14047,AKK.0527,4925135.269501009,3916817.677980088
526,14048,AKK.0528,4924466.935214107,3916691.295216995
527,14049,AKK.0529,4929669.638966941,3921252.1064587096
528,14050,AKK.0530,4908825.488879204,3908748.7419983526
529,14051,AKK.0531,4909075.763803419,3909198.556993777
530,14052,AKK.0532,4915065.897234645,3904813.775788793
531,14053,AKK.0533,4917913.2009732425,3903850.7305126456
532,14054,AKK.0534,4916848.4903836725,3903566.597017504
533,14055,AKK.0535,4918595.975315338,3902119.1385332826
534,14056,AKK.0536,4935037.725665946,3898398.7751397635
